Cluster,Customer_Count,Churn_Count,Churn_Rate,Average_tenure,Average_MonthlyCharges,Average_TotalCharges
0,5517,1756,0.3182889251404749,0.020543765619240106,0.4015752945185346,0.19733996373903195
1,1526,113,0.07404980340760157,-0.07427257858541796,-1.4518288989900103,-0.7134499213291217
