k,inertia,silhouette_score
2,145801.85794823972,0.3349542361254623
3,126947.42218338902,0.2188421501737078
4,112099.58157355241,0.23902201955281932
5,106769.57927499697,0.19289205685633665
6,101756.84782103542,0.19374021324820906
7,98733.85232934296,0.18914333246473605
8,96912.10135876568,0.18499115222365775
