"Model","Dimensionality Reduction","Accuracy","Precision","Recall","F1-score"
"DTC","Without DR","0.7865593942262187","0.6136363636363636","0.5294117647058824","0.5684210526315789"
"DTC","With DR","0.7865593942262187","0.6136363636363636","0.5294117647058824","0.5684210526315789"
"SVM","Without DR","0.795551348793185","0.6584766584766585","0.47771836007130125","0.5537190082644629"
"SVM","With DR","0.7941315664931378","0.6615384615384615","0.45989304812834225","0.5425867507886435"
