PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
-0.4530483264644774,-1.7997805498539448,0.3631575833713464,-0.04350606592578243,-0.07543328168710951,-0.46896306368436996,0.07800083355207871,0.00941348255140198,-0.43480654426399035,-0.7750857782848839,0.20534751404030388,-0.019354470168105042,-0.5590702151370317,-0.3317060631736589,-0.23191387767041194,-0.010432149290157573,-0.6407922746083201
-0.1284562137646088,-2.0709201037219516,0.5375198000376699,-0.19626551699950212,0.20516031396704087,-0.5114302686061604,0.4773425723966702,-0.1363337726802709,0.052113422653746744,-0.19278340544537523,0.07405238370151732,-0.3727995501129518,-0.2999468317236462,0.6460422691633094,0.2817069177073688,0.05655207117993591,-0.82444552630435
-0.49268714888060006,-1.4634101379024815,0.42107608570391364,0.4478044113866596,0.00783399545286749,-0.536180607320546,-0.9444273057578152,-0.3194025010821231,1.0452060769639488,-0.09021541256664822,-0.21654254185117028,-0.2733759985524974,0.2911313970998495,-0.02098058629543642,-0.015708804816473854,0.1854203706803999,0.06703967937421504
1.7261287116082036,0.7911103443343981,-0.28364106015664936,-0.5716145881226267,-0.8496634674503842,-0.3173732317156728,0.43764977953180373,0.4644740070407043,0.5381791658445306,-0.9746888875593669,-0.6275904449593923,-0.015529498149132848,0.468508360860466,-0.10465217573413091,-0.6738229549444382,0.3187392747389448,-0.09739356111942539
0.5606879167827482,-1.5603950995673626,0.049550446289534755,0.07854732197586578,-0.8497842105675363,-0.5764469342191508,0.49581801488625066,-0.2936619413429534,0.1857880289644372,0.16465033225701659,-0.4335382979016117,0.3881491901612958,-0.7256028008531031,-0.5214980569857305,0.4567132290268794,0.16971542248840915,0.08567315110438944
-1.8467080947225183,2.484941937365071,0.2774281365332383,-0.2611193159514605,0.4671162109659787,-0.5909799853253574,-0.030329922964377143,-0.2605103007802775,-0.3302442122154531,-0.3453821190561721,0.12368249279285742,-0.29587011592601997,-0.31341334807616655,-0.0014103675162198681,0.10115484570383382,0.30633563314536194,0.039299606381842184
-2.786053676100575,0.6274257566917979,0.6193070667706814,-0.5683197456173115,0.24996134373335377,0.4328790578551436,0.36464964694370683,0.0205178555195851,-0.5070312032634761,-0.5721586454619841,0.1326349963931225,0.5328521561537501,-0.16899962646070013,0.20158715186613257,0.1870326335319189,-0.02896078785188856,0.024107106895073435
-0.6686012975428954,-1.1116413628447832,-0.7541655114358328,0.10056707806539111,-1.2301984337830885,-0.4315951806566157,0.4988455060036229,-0.09220818505938036,-0.40426853224264203,-0.14781262505735454,-0.20090929216766903,-0.395187408736796,0.154029520618717,0.45157164126404,-0.39504505798740897,0.46620821351852654,0.6053345338988158
-2.616173909423996,1.408787571299719,0.3325493950291779,-0.4530120172852972,-0.5204148452900265,0.42365416558701496,0.19807663197529546,-0.4879735666233269,-0.5912574467554619,0.14580676008085786,0.13947357440699099,-0.17944458800706214,-0.1787749962968076,-0.03217803916877193,-0.023490722477250647,-0.020860901689106266,-0.006153670280183902
-1.4740181943122321,2.3649858273888507,0.6965463422064097,-1.0260061338460602,0.2804468461841247,-0.6833938893517446,-0.2802157671730958,-0.7236230833015082,0.6700497207348175,0.03859281085850397,-0.3414807033643793,0.29431820279395937,0.23691602620212393,-0.02380757861181282,-0.21138858461282162,-0.15882880756892467,-0.02239533298546273
